*=already compared
0 578
1 278
2 1278
3 1478
4 48
5 2678
6 12478
7 124578
8 12578
9 1467
a 24578
b 1378
c 12378
d 13478
e 134578
f 23678
10 123478
11 1234578
12 123578
13 23478
14 234578
15 35678
16 123678
17 245678
18 134678
19 1345678
1a 135678
*1b 345678
1c 12345678
1d 4678
1e 4578
1f 678
20 
*21 2357
*22 56
*23 3456
*24 123467
*25 456
*26 12346
*27 4
*28 1268
*29 3457
*2a 256
*2b 235
*2c 2
*2d 36
*2e 3
2f 3478
30 34678
31 16
32 126
33 146
34 1456
35 156
36 1246
37 12456
38 1256
39 246
*3a 25
*3b 23
*3c 2368
*3d 2356
*3e 3567
*3f 26
*40 5
41 17
42 127
43 147
44 1457
45 157
46 1247
47 12457
48 1257
49 247
4a 2457
4b 137
4c 1237
4d 1347
4e 13457
4f 1357
50 12347
51 123457
52 12357
53 2347
54 23457
55 1367
56 12367
57 24567
58 13467
59 134567
5a 13567
*5b 2367
*5c 123456
*5d 3568
*5e 45
5f 6
*60 58
61 1
62 12
63 14
64 145
65 15
66 124
67 1245
68 125
69 24
6a 245
6b 13
6c 123
6d 134
6e 1345
6f 135
70 1234
71 12345
72 1235
73 234
74 2345
75 136
76 1236
77 2456
78 1346
79 13456
7a 1356
*7b 1238
*7c 4568
*7d 4567
*7e 57
*7f 7
*80 12358
*81 267
82 37
*83 1248
*84 78
*85 1267
*86 28
*87 23458
*88 458
*89 45678
*8a 1234568
8b 1258
*8c 1468
*8d 357
*8e 148
*8f 27
*90 68
91 138
92 378
93 14568
94 12348
*95 1458
*96 368
*97 3678
*98 134568
*99 2467
*9a 12567
9b 34568
*9c 46
*9d 25678
*9e 2568
*9f 367
*a0 13568
*a1 23578
*a2 12678
a3 2378
*a4 2567
*a5 145678
*a6 478
*a7 167
*a8 268
*a9 23567
*aa 23568
*ab 238
*ac 257
*ad 2358
*ae 236
*af 24568
*b0 8
*b1 12467
*b2 47
*b3 568
*b4 467
*b5 13468
*b6 14567
*b7 14678
*b8 1234567
*b9 237
*ba 5678
*bb 567
*bc 3578
*bd 468
*be 14578
*bf 358
*c0 1235678
*c1 123567
*c2 178
*c3 356
*c4 34578
*c5 12368
*c6 38
*c7 1234678
*c8 234678
*c9 23467
*ca 1578
*cb 124678
*cc 345
*cd 347
*ce 2478
*cf 1245678
*d0 13458
*d1 124567
*d2 2458
*d3 3467
*d4 13578
*d5 12458
*d6 24678
*d7 1678
*d8 34567
*d9 2345678
*da 234567
*db 13678
*dc 125678
*dd 1567
*de 123458
*df 128
*e0 123568
*e1 12356
*e2 18
*e3 168
*e4 3458
*e5 15678
*e6 1348
*e7 123468
*e8 23468
*e9 2346
*ea 158
*eb 12468
*ec 348
*ed 34
*ee 248
*ef 258
*f0 235678
*f1 124568
*f2 3468
*f3 346
*f4 1358
*f5 35
*f6 2468
*f7 2578
*f8 457
*f9 234568
*fa 23456
*fb 1368
*fc 12568
*fd 2348
*fe 1568
*ff 67
